no,topik,subtopik,soal,jawaban,contoh,konteks,link_sumber_buku,soal_len,jawaban_len
1,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,kenapa benda dibuat dari bahan yang berbeda-beda?,"benda dibuat dari bahan yang berbeda-beda karena setiap bahan memiliki sifat yang berbeda dan cocok untuk kegunaan tertentu. ada bahan yang kuat, lentur, halus, atau tahan air, sehingga pemilihannya harus disesuaikan dengan fungsi benda tersebut.","buku dibuat dari kertas supaya bisa ditulis, sedangkan ember dibuat dari plastik supaya bisa menampung air. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.","setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,35
2,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,apa alasan benda dibuat dari bahan yang berbeda-beda?,"benda dibuat dari bahan yang berbeda-beda karena setiap bahan memiliki sifat yang berbeda dan cocok untuk kegunaan tertentu. ada bahan yang kuat, lentur, halus, atau tahan air, sehingga pemilihannya harus disesuaikan dengan fungsi benda tersebut.","buku dibuat dari kertas supaya bisa ditulis, sedangkan ember dibuat dari plastik supaya bisa menampung air. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.","setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,35
3,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,mengapa benda dibuat dari bahan yang berbeda-beda?,"benda dibuat dari bahan yang berbeda-beda karena setiap bahan memiliki sifat yang berbeda dan cocok untuk kegunaan tertentu. ada bahan yang kuat, lentur, halus, atau tahan air, sehingga pemilihannya harus disesuaikan dengan fungsi benda tersebut.","buku dibuat dari kertas supaya bisa ditulis, sedangkan ember dibuat dari plastik supaya bisa menampung air. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.","setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,35
4,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,mengapa tali harus kuat dan lentur?,"tali harus kuat agar tidak mudah putus saat menarik atau mengikat benda. tali juga harus lentur supaya mudah dililitkan, dibuat simpul, dan dipakai sesuai kebutuhan.","tali pramuka, tali jemuran, dan tali pancing dipakai untuk keperluan berbeda karena sifat bahannya juga berbeda. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.","setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,6,25
5,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,apa alasan tali harus kuat dan lentur?,"tali harus kuat agar tidak mudah putus saat menarik atau mengikat benda. tali juga harus lentur supaya mudah dililitkan, dibuat simpul, dan dipakai sesuai kebutuhan.","tali pramuka, tali jemuran, dan tali pancing dipakai untuk keperluan berbeda karena sifat bahannya juga berbeda. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.","setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,25
6,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,kenapa tali harus kuat dan lentur?,"tali harus kuat agar tidak mudah putus saat menarik atau mengikat benda. tali juga harus lentur supaya mudah dililitkan, dibuat simpul, dan dipakai sesuai kebutuhan.","tali pramuka, tali jemuran, dan tali pancing dipakai untuk keperluan berbeda karena sifat bahannya juga berbeda. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.","setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,6,25
7,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,kenapa kain wol cocok untuk pakaian hangat?,kain wol cocok untuk pakaian hangat karena bahannya tebal dan dapat menimbulkan rasa hangat saat dipakai. kain ini sesuai digunakan di daerah dingin atau saat udara terasa sangat sejuk.,jaket wol dan selimut wol sering dipakai ketika cuaca dingin agar tubuh tetap hangat. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.,"setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,29
8,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,apa alasan kain wol cocok untuk pakaian hangat?,kain wol cocok untuk pakaian hangat karena bahannya tebal dan dapat menimbulkan rasa hangat saat dipakai. kain ini sesuai digunakan di daerah dingin atau saat udara terasa sangat sejuk.,jaket wol dan selimut wol sering dipakai ketika cuaca dingin agar tubuh tetap hangat. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.,"setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,29
9,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,mengapa kain wol cocok untuk pakaian hangat?,kain wol cocok untuk pakaian hangat karena bahannya tebal dan dapat menimbulkan rasa hangat saat dipakai. kain ini sesuai digunakan di daerah dingin atau saat udara terasa sangat sejuk.,jaket wol dan selimut wol sering dipakai ketika cuaca dingin agar tubuh tetap hangat. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.,"setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,29
10,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,kenapa kertas harus dibuat dari serat kayu?,"kertas dibuat dari serat kayu karena serat kayu bisa diolah menjadi lembaran yang ringan, tipis, dan dapat digunakan untuk menulis, mencetak, atau membungkus. setiap jenis kertas juga dibuat dengan ketebalan dan pori-pori yang berbeda sesuai kegunaannya.","kertas hvs dipakai untuk menulis, kertas karton untuk sampul, dan kertas tisu untuk mengelap keringat. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.","setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,36
